time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-03T07:29:45.230Z,32.383,137.554,388.86,4.1,mb,,73,2.039,0.64,us,us20009kh5,2017-06-03T07:48:20.040Z,"209km SE of Shingu, Japan",earthquake,9.3,7.9,0.067,62,reviewed,us,us
2017-06-03T06:24:59.280Z,38.3947,-118.9192,17.3,2.6,ml,48,48.4,0.325,,nn,nn00590984,2017-06-03T09:11:02.893Z,"29km WSW of Hawthorne, Nevada",earthquake,,,,,automatic,nn,nn
2017-06-03T06:10:07.180Z,36.5406685,-120.5983353,3.09,2.5,md,41,73,0.2752,0.22,nc,nc72809756,2017-06-03T08:28:02.796Z,"30km SW of Mendota, California",earthquake,0.34,1.39,0.1,28,automatic,nc,nc
2017-06-03T06:03:04.010Z,19.1141,-66.154,13,2.95,md,14,256,0.7394,0.24,pr,pr2017154005,2017-06-03T14:38:19.340Z,"71km N of San Juan, Puerto Rico",earthquake,1.9,2.84,0.28,12,reviewed,pr,pr
2017-06-03T05:45:07.840Z,53.6517,170.3129,10,4.3,mb,,160,2.459,0.91,us,us20009kgu,2017-06-03T06:35:36.040Z,"211km WNW of Attu Station, Alaska",earthquake,11.2,1.9,0.097,30,reviewed,us,us
2017-06-03T03:42:12.460Z,18.3756,-66.4386,58,3.38,md,22,140,0.1362,0.12,pr,pr2017154000,2017-06-03T20:04:33.197Z,"2km NNE of Barahona, Puerto Rico",earthquake,0.56,0.66,0.31,19,reviewed,pr,pr
2017-06-03T03:08:40.410Z,39.9095,-81.3128,5,3.4,mb_lg,,37,0.347,0.92,us,us20009kfw,2017-06-04T03:08:03.517Z,"14km SW of Barnesville, Ohio",earthquake,3.3,2,0.037,191,reviewed,us,us
2017-06-03T02:42:58.210Z,24.7763,95.1885,107.65,4.1,mb,,113,0.975,0.67,us,us20009kft,2017-06-03T02:59:06.040Z,"114km E of Yairipok, India",earthquake,5.1,12.5,0.14,14,reviewed,us,us
2017-06-03T01:28:32.260Z,53.7872,170.9747,10,4.1,mb,,152,2.156,0.58,us,us20009k9u,2017-06-03T02:10:01.040Z,"180km NW of Attu Station, Alaska",earthquake,5.3,1.9,0.103,26,reviewed,us,us
2017-06-03T00:54:41.650Z,18.6238,-66.7608,13,2.83,md,11,227,0.2739,0.34,pr,pr2017154001,2017-06-03T14:33:03.944Z,"16km NNE of Hatillo, Puerto Rico",earthquake,1.09,0.92,0.08,9,reviewed,pr,pr
2017-06-02T23:48:17.970Z,-4.7399,145.1369,193.51,5.9,mww,,13,9.361,0.63,us,us20009jdx,2017-06-04T01:01:55.224Z,"90km NW of Madang, Papua New Guinea",earthquake,8.5,4.1,0.103,9,reviewed,us,us
2017-06-02T23:14:16.860Z,37.1177,-97.439,9.82,2.7,mb_lg,,50,0.109,0.93,us,us20009jdj,2017-06-04T00:37:05.902Z,"17km SSW of Wellington, Kansas",earthquake,1.9,6.6,0.228,5,reviewed,us,us
2017-06-02T23:12:01.020Z,-18.8529,-67.0138,261.46,4.3,mb,,44,2.213,0.69,us,us20009jdi,2017-06-04T00:34:04.040Z,"26km WNW of Challapata, Bolivia",earthquake,8.5,11.1,0.122,19,reviewed,us,us
2017-06-02T22:32:37.320Z,53.9052,170.971,10,5,mb,,93,2.216,1,us,us20009jd8,2017-06-04T00:31:09.040Z,"188km NW of Attu Station, Alaska",earthquake,7.8,1.9,0.05,128,reviewed,us,us
2017-06-02T22:24:47.920Z,54.0291,170.9096,8.19,6.8,mww,,12,2.313,0.92,us,us20009jd6,2017-06-03T23:21:33.280Z,"200km NW of Attu Station, Alaska",earthquake,6.3,2.4,0.038,68,reviewed,us,us
2017-06-02T17:26:31.520Z,24.3423,126.213,32.5,5.1,mb,,47,2.921,0.93,us,us20009jb7,2017-06-03T16:48:12.040Z,"106km ESE of Hirara, Japan",earthquake,6.3,5,0.044,170,reviewed,us,us
2017-06-02T17:07:24.920Z,18.8535,-66.584,43,2.55,md,3,342,0.5346,0.03,pr,pr2017153006,2017-06-03T14:31:28.783Z,"44km NNE of Arecibo, Puerto Rico",earthquake,3.54,3.2,0.08,3,reviewed,pr,pr
2017-06-02T17:06:24.400Z,35.8731,-96.6399,4.472,2.5,ml,,41,,0.27,us,us20009jaq,2017-06-03T15:00:50.040Z,"13km SSW of Drumright, Oklahoma",earthquake,1,2,,,reviewed,tul,tul
